geo,date,I_official,I_recon,diff,abs_diff
ES,2018-12-01,104.0,103.99978834760039,-0.00021165239961362659,0.00021165239961362659
ES,2019-01-01,102.26,102.25870165418688,-0.001298345813125934,0.001298345813125934
ES,2019-02-01,102.47,102.47241125023106,0.0024112502310629225,0.0024112502310629225
ES,2019-03-01,103.9,103.90508361127398,0.005083611273974498,0.005083611273974498
ES,2019-04-01,105.06,105.06167287340561,0.0016728734056101757,0.0016728734056101757
ES,2019-05-01,105.31,105.31243013886397,0.002430138863971365,0.002430138863971365
ES,2019-06-01,105.18,105.18004853379736,4.853379735436647e-05,4.853379735436647e-05
ES,2019-07-01,103.98,103.98427999758408,0.0042799975840779325,0.0042799975840779325
ES,2019-08-01,103.87,103.8725221822184,0.0025221822183993936,0.0025221822183993936
ES,2019-09-01,104.28,104.28610107076659,0.006101070766590055,0.006101070766590055
ES,2019-10-01,104.97,104.96909757092294,-0.0009024290770582866,0.0009024290770582866
ES,2019-11-01,105.01,105.00889289987327,-0.0011071001267310976,0.0011071001267310976
ES,2019-12-01,104.88,104.88166177425427,0.001661774254273496,0.001661774254273496
ES,2020-01-01,103.42,103.42431244183626,0.004312441836262337,0.004312441836262337
ES,2020-02-01,103.36,103.35942751827734,-0.0005724817226564483,0.0005724817226564483
ES,2020-03-01,103.98,103.98062791170166,0.0006279117016561031,0.0006279117016561031
ES,2020-04-01,104.35,104.34793411808403,-0.0020658819159677932,0.0020658819159677932
ES,2020-05-01,104.41,104.40949523625974,-0.0005047637402526561,0.0005047637402526561
ES,2020-06-01,104.87,104.86488354014504,-0.005116459854960453,0.005116459854960453
ES,2020-07-01,103.23,103.22754034294236,-0.0024596570576420618,0.0024596570576420618
ES,2020-08-01,103.23,103.22926679605578,-0.0007332039442218274,0.0007332039442218274
ES,2020-09-01,103.69,103.68783815582242,-0.002161844177578587,0.002161844177578587
ES,2020-10-01,104.01,104.01042400150325,0.0004240015032479505,0.0004240015032479505
ES,2020-11-01,104.12,104.11523251611997,-0.004767483880030454,0.004767483880030454
ES,2020-12-01,104.28,104.2763164691522,-0.0036835308477947137,0.0036835308477947137
ES,2021-01-01,103.87,103.8736354672599,0.0036354672598974958,0.0036354672598974958
ES,2021-02-01,103.27,103.26838195577145,-0.001618044228550275,0.001618044228550275
ES,2021-03-01,105.22,105.22024757922873,0.0002475792287270906,0.0002475792287270906
ES,2021-04-01,106.39,106.38995952836711,-4.0471632885896724e-05,4.0471632885896724e-05
ES,2021-05-01,106.95,106.95108141441574,0.0010814144157365035,0.0010814144157365035
ES,2021-06-01,107.46,107.46206066582992,0.0020606658299300307,0.0020606658299300307
ES,2021-07-01,106.18,106.1881191758262,0.008119175826195146,0.008119175826195146
ES,2021-08-01,106.65,106.65086422695855,0.0008642269585408258,0.0008642269585408258
ES,2021-09-01,107.87,107.86975379495878,-0.0002462050412219696,0.0002462050412219696
ES,2021-10-01,109.6,109.60404113982854,0.00404113982854426,0.00404113982854426
ES,2021-11-01,109.87,109.87012401663175,0.0001240166317444391,0.0001240166317444391
ES,2021-12-01,111.13,111.12892535585303,-0.0010746441469677848,0.0010746441469677848
ES,2022-01-01,110.26,110.26662780234706,0.006627802347054512,0.006627802347054512
ES,2022-02-01,111.15,111.15572490226457,0.005724902264560683,0.005724902264560683
ES,2022-03-01,115.51,115.51340240111256,0.003402401112552411,0.003402401112552411
ES,2022-04-01,115.21,115.21790756932192,0.007907569321929486,0.007907569321929486
ES,2022-05-01,116.03,116.033672997191,0.0036729971910034465,0.0036729971910034465
ES,2022-06-01,118.22,118.22717685790185,0.00717685790185385,0.00717685790185385
ES,2022-07-01,117.54,117.54582524882449,0.00582524882447899,0.00582524882447899
ES,2022-08-01,117.84,117.84638996952933,0.006389969529323025,0.006389969529323025
ES,2022-09-01,117.55,117.56027832520004,0.010278325200047789,0.010278325200047789
ES,2022-10-01,117.61,117.61589484814628,0.005894848146283493,0.005894848146283493
ES,2022-11-01,117.22,117.22394518298023,0.003945182980231721,0.003945182980231721
ES,2022-12-01,117.22,117.22781979761105,0.007819797611048784,0.007819797611048784
ES,2023-01-01,116.72,116.71376002657114,-0.006239973428861845,0.006239973428861845
ES,2023-02-01,117.82,117.81373261195293,-0.00626738804706406,0.00626738804706406
ES,2023-03-01,119.06,119.05305374215568,-0.006946257844319348,0.006946257844319348
ES,2023-04-01,119.61,119.60650430969442,-0.003495690305584276,0.003495690305584276
ES,2023-05-01,119.44,119.43490586348621,-0.005094136513790204,0.005094136513790204
ES,2023-06-01,120.13,120.12682617856461,-0.0031738214353822514,0.0031738214353822514
ES,2023-07-01,120.03,120.03153291398179,0.0015329139817907844,0.0015329139817907844
ES,2023-08-01,120.68,120.6806116963876,0.0006116963875939518,0.0006116963875939518
ES,2023-09-01,121.38,121.38238675759474,0.002386757594749156,0.002386757594749156
ES,2023-10-01,121.69,121.6938581923941,0.003858192394105231,0.003858192394105231
ES,2023-11-01,121.05,121.05085764162831,0.0008576416283148092,0.0008576416283148092
ES,2023-12-01,121.06,121.05788193526831,-0.0021180647316896284,0.0021180647316896284
ES,2024-01-01,120.82,120.82608920356093,0.006089203560932788,0.006089203560932788
ES,2024-02-01,121.29,121.29367189788961,0.003671897889603315,0.003671897889603315
ES,2024-03-01,122.93,122.92967602169385,-0.0003239783061559365,0.0003239783061559365
ES,2024-04-01,123.67,123.6662956495072,-0.003704350492796493,0.003704350492796493
ES,2024-05-01,123.95,123.94765121948267,-0.0023487805173374454,0.0023487805173374454
ES,2024-06-01,124.44,124.43985372865448,-0.00014627134551403742,0.00014627134551403742
ES,2024-07-01,123.51,123.51247137666186,0.002471376661858926,0.002471376661858926
ES,2024-08-01,123.54,123.54298741230467,0.0029874123046624845,0.0029874123046624845
ES,2024-09-01,123.42,123.42596756436822,0.005967564368219769,0.005967564368219769
ES,2024-10-01,123.91,123.9122575263134,0.002257526313400149,0.002257526313400149
ES,2024-11-01,123.95,123.95505952036629,0.005059520366287984,0.005059520366287984
ES,2024-12-01,124.49,124.49107893146694,0.0010789314669494843,0.0010789314669494843
ES,2025-01-01,124.31,124.30632043186155,-0.0036795681384518275,0.0036795681384518275
ES,2025-02-01,124.8,124.79647297514485,-0.003527024855145555,0.003527024855145555
ES,2025-03-01,125.66,125.66097663818248,0.0009766381824789505,0.0009766381824789505
ES,2025-04-01,126.44,126.43777738583208,-0.002222614167919801,0.002222614167919801
ES,2025-05-01,126.4,126.40203800810373,0.0020380081037245645,0.0020380081037245645
ES,2025-06-01,127.27,127.26631360131196,-0.003686398688032,0.003686398688032
ES,2025-07-01,126.84,126.83775693164736,-0.0022430683526408757,0.0022430683526408757
ES,2025-08-01,126.88,126.8754122268836,-0.004587773116398353,0.004587773116398353
ES,2025-09-01,127.17,127.17052046694627,0.0005204669462699485,0.0005204669462699485
ES,2025-10-01,127.85,127.8434067585701,-0.006593241429897034,0.006593241429897034
ES,2025-11-01,127.87,127.86609327710772,-0.003906722892281778,0.003906722892281778
ES,2025-12-01,128.28,128.28444542117782,0.004445421177820208,0.004445421177820208
NL,1997-01-01,69.11,69.11602768239185,0.006027682391845701,0.006027682391845701
NL,1997-02-01,69.25,69.30220530442521,0.05220530442521465,0.05220530442521465
NL,1997-03-01,69.94,69.95518851510688,0.015188515106885347,0.015188515106885347
NL,1997-04-01,70.01,70.03274061559947,0.022740615599460057,0.022740615599460057
NL,1997-05-01,70.15,70.20252038014154,0.052520380141530154,0.052520380141530154
NL,1997-06-01,69.73,69.7461163030109,0.01611630301088951,0.01611630301088951
NL,1997-07-01,69.8,69.81979649109378,0.019796491093785562,0.019796491093785562
NL,1997-08-01,70.08,70.07012893823041,-0.009871061769587186,0.009871061769587186
NL,1997-09-01,70.83,70.83173097814829,0.0017309781482879316,0.0017309781482879316
NL,1997-10-01,70.9,70.90772778584714,0.007727785847137625,0.007727785847137625
NL,1997-11-01,70.9,70.93644336154738,0.036443361547370046,0.036443361547370046
NL,1997-12-01,70.63,70.6692671156552,0.03926711565520691,0.03926711565520691
NL,1998-01-01,70.21,70.19968850931359,-0.010311490686405023,0.010311490686405023
NL,1998-02-01,70.7,70.7018099951923,0.0018099951923034041,0.0018099951923034041
NL,1998-03-01,71.45,71.46870546975066,0.01870546975065679,0.01870546975065679
NL,1998-04-01,71.73,71.69226993197246,-0.03773006802754253,0.03773006802754253
NL,1998-05-01,71.59,71.60464584121206,0.01464584121205803,0.01464584121205803
NL,1998-06-01,71.25,71.21052423482894,-0.039475765171061994,0.039475765171061994
NL,1998-07-01,71.04,71.00368086899005,-0.03631913100996087,0.03631913100996087
NL,1998-08-01,71.04,70.98564013448062,-0.05435986551938754,0.05435986551938754
NL,1998-09-01,71.73,71.73772688576913,0.007726885769130831,0.007726885769130831
NL,1998-10-01,71.94,71.95315987882884,0.013159878828844285,0.013159878828844285
NL,1998-11-01,71.94,71.93412585071547,-0.0058741492845229,0.0058741492845229
NL,1998-12-01,71.66,71.67681069583848,0.016810695838486822,0.016810695838486822
NL,1999-01-01,71.66,71.61203117577384,-0.04796882422616022,0.04796882422616022
NL,1999-02-01,72.14,72.08488167698837,-0.05511832301162656,0.05511832301162656
NL,1999-03-01,72.9,72.87805362496259,-0.021946375037416033,0.021946375037416033
NL,1999-04-01,73.11,73.06121087541895,-0.04878912458104878,0.04878912458104878
NL,1999-05-01,73.11,73.09738356859798,-0.012616431402022954,0.012616431402022954
NL,1999-06-01,72.76,72.71153458062132,-0.04846541937868665,0.04846541937868665
NL,1999-07-01,72.35,72.28603260674957,-0.06396739325042233,0.06396739325042233
NL,1999-08-01,72.83,72.80838227733234,-0.02161772266765638,0.02161772266765638
NL,1999-09-01,73.17,73.14071493284885,-0.0292850671511502,0.0292850671511502
NL,1999-10-01,73.24,73.17868904084375,-0.06131095915624485,0.06131095915624485
NL,1999-11-01,73.38,73.32780936410808,-0.05219063589191819,0.05219063589191819
NL,1999-12-01,73.04,73.00314041362347,-0.03685958637653641,0.03685958637653641
NL,2000-01-01,72.83,72.85674546470548,0.02674546470548478,0.02674546470548478
NL,2000-02-01,73.24,73.26656899514163,0.02656899514163058,0.02656899514163058
NL,2000-03-01,74.07,74.07481334181706,0.004813341817069272,0.004813341817069272
NL,2000-04-01,74.34,74.3326393690745,-0.007360630925504097,0.007360630925504097
NL,2000-05-01,74.55,74.58874507054811,0.038745070548117155,0.038745070548117155
NL,2000-06-01,74.55,74.56952179357499,0.019521793574995172,0.019521793574995172
NL,2000-07-01,74.34,74.36306194705946,0.023061947059460408,0.023061947059460408
NL,2000-08-01,74.62,74.60579104503245,-0.014208954967557474,0.014208954967557474
NL,2000-09-01,75.31,75.30921445963442,-0.00078554036558387,0.00078554036558387
